1816.HK,1133.HK,0914.HK,2600.HK,0358.HK,0390.HK,1186.HK,1800.HK,0688.HK,3333.HK,0960.HK,1813.HK,3900.HK,2007.HK,3383.HK,0315.HK,0762.HK,0728.HK,3618.HK,1288.HK,0998.HK,3328.HK,1988.HK,3988.HK,0939.HK,1398.HK,3968.HK,2318.HK,1336.HK,1339.HK,2601.HK,2328.HK,0966.HK,2628.HK,1299.HK,0257.HK,0371.HK,
11.84294265,11.31658128,14.93908055,190.3508927,45.62873909,10.43062769,8.755568811,8.186162832,6.382007141,36.23800055,9.734569996,4.086596423,12.52375243,14.87003107,11.13590488,13.83544822,216.1967472,14.25172311,5.505750537,5.344029233,4.937966378,5.338850835,5.068005646,6.012981596,5.555106872,5.583037029,7.960815322,13.01183936,22.87516861,9.001037587,20.91577247,10.22032423,15.60064883,30.69754992,20.42965217,15.0517555,16.37762276,
11.80737891,11.39831713,14.5721821,176.9503766,45.84935766,10.33210438,8.678128191,8.210549693,6.285726861,32.72164727,9.295408947,3.960728177,10.69530285,15.07524305,10.55619947,13.94460363,239.4972441,14.4821745,5.357069237,5.682153565,4.912859972,5.332496396,5.158742898,6.360266611,5.650501233,6.011116925,8.109076641,12.33731579,21.76483376,8.482635747,20.82032975,9.317869286,15.72787125,30.60536678,21.07006811,15.67958274,16.70848383,
12.13281185,11.91012059,13.72916742,170.9628525,42.94411662,10.425581,8.808251803,8.400128053,6.25821821,33.77129995,8.596949225,3.996561677,10.12697299,14.6569535,10.57721608,13.97189248,243.7473341,14.84952967,5.36450698,5.671408721,4.946936663,5.771356931,5.205415076,6.384295851,5.758167464,5.984934279,8.060833675,12.65460147,22.01706382,8.61157119,19.69153585,9.575215985,15.98231608,31.33545843,21.23684075,15.63128833,17.0393449,
11.92527127,11.83766564,13.81407681,168.1165407,42.28435376,10.38761705,8.673331406,8.189020152,6.299481187,32.66280859,8.509950702,4.088601467,10.21512857,14.7710536,10.03402983,13.97189248,234.5568496,14.79545625,5.385851873,5.588830622,4.877256917,5.633582788,5.133197212,6.36104793,6.000115395,5.951673024,7.442967093,12.09019721,21.93689038,8.502210883,19.5214034,9.152412713,15.29849559,30.96332507,20.66360623,15.21273684,17.09448841,
12.28884972,12.86631049,14.22539944,163.4350145,42.58294629,10.71009152,8.849212195,8.275636649,6.519550399,38.98937328,8.353188166,4.143579146,10.63751088,15.85367198,10.62738684,14.21749215,234.6360534,14.77430308,5.327125576,5.54992145,4.952831053,5.703255924,5.19234149,6.468656054,6.057171979,5.977517425,7.881722277,12.53031022,23.28150237,8.567945628,20.37807221,9.168022351,16.18110111,32.78708293,20.82054319,15.58299393,16.48790979,
12.26807706,12.52304497,13.96729397,158.5398592,41.47579125,10.82407054,9.07947885,8.396960679,6.437024444,33.55152951,8.900335999,4.603487801,10.24105997,15.76306142,10.73088929,14.59953609,233.2020471,15.12925582,5.40315638,5.797692445,4.945740852,5.855317026,5.193269428,6.620163315,6.205438922,6.200622485,8.111353364,12.23883929,23.26266127,8.617512835,20.43404192,9.351458376,16.37988614,32.61876832,20.49077089,16.08203609,17.12206016,
12.61461878,12.6261537,13.96809457,164.8498689,42.8791552,11.05799307,9.305641803,8.727451799,6.409515793,29.2588382,8.414282545,4.47275971,9.898433481,14.48966,10.53998398,14.35393642,233.7403135,15.02078918,5.486471667,5.847458602,5.224677569,5.889829613,5.425056123,6.541471231,6.109608824,5.994613755,8.263768209,12.14100377,22.78910642,8.74687115,19.72833998,9.421049682,16.18110111,32.94097552,20.2572044,15.96934915,16.84634261,
12.85203405,13.05170293,14.02042133,160.3837773,42.6137773,11.15527304,9.341346767,8.793846095,6.161937929,22.53276162,7.695021802,4.233662956,9.473602817,13.91068562,9.637813445,14.57224724,217.4112482,14.98718804,5.196839462,5.708301768,5.055598307,5.746011173,5.125532106,6.511127746,6.011289133,5.889405526,7.521885701,11.30668343,22.10950264,8.691402332,18.97675597,9.416559141,15.66426004,31.69128782,20.26392829,15.85666221,16.57062505,
12.9163958,13.06100876,13.62017173,160.948968,42.06099282,11.35156337,9.695516685,9.06628217,6.065657649,19.55183138,7.542433384,4.161026521,9.074780685,13.02085756,9.418990524,14.98158002,218.8287355,15.11722035,5.376658864,5.696678446,5.101101099,5.819148815,5.156182318,6.431149774,6.063166745,5.905229126,7.316696375,11.25365034,22.82366524,8.486748391,19.35612374,9.36501487,15.98231608,32.10622035,20.49559681,16.09813423,16.18462047,
12.7755965,13.26365006,13.94809004,159.9068108,42.14278565,11.09916097,9.401004022,8.683887171,6.024394672,18.04077643,7.229022864,4.214599443,9.041632039,12.28075708,9.414002669,14.38122527,211.6647041,14.78788199,5.335215463,5.487622491,4.995576822,5.711879147,4.956585486,6.240172072,5.874684008,5.776947714,6.982837534,10.51648654,20.76877862,8.265583396,18.52737604,8.974625471,14.91682835,30.0066068,20.22454402,16.08203609,15.7986159,
